MMWR Year,MMWR Week,Jurisdiction of Occurrence,"COVID-19 (U071, Multiple Cause of Death)"
2020,1,United States,0
2020,2,United States,1
2020,3,United States,2
2020,4,United States,3
2020,5,United States,0
2020,6,United States,4
2020,7,United States,6
2020,8,United States,6
2020,9,United States,9
2020,10,United States,38
2020,11,United States,60
2020,12,United States,588
2020,13,United States,"3,226"
2020,14,United States,"10,141"
2020,15,United States,"16,347"
2020,16,United States,"17,221"
2020,17,United States,"15,557"
2020,18,United States,"13,223"
2020,19,United States,"11,243"
2020,20,United States,"9,239"
2020,21,United States,"7,249"
2020,22,United States,"6,176"
2020,23,United States,"5,06"
2020,24,United States,"4,233"
2020,25,United States,"3,852"
2020,26,United States,"3,846"
2020,27,United States,"4,557"
2020,28,United States,"5,786"
2020,29,United States,"7,198"
2020,30,United States,"8,25"
2020,31,United States,"8,308"
2020,32,United States,"7,87"
2020,33,United States,"7,27"
2020,34,United States,"6,389"
2020,35,United States,"5,755"
2020,36,United States,"5,021"
2020,37,United States,"4,628"
2020,38,United States,"4,28"
2020,39,United States,"4,305"
2020,40,United States,"4,246"
2020,41,United States,"4,823"
2020,42,United States,"5,204"
2020,43,United States,6
2020,44,United States,"7,031"
2020,45,United States,"8,766"
2020,46,United States,"10,654"
2020,47,United States,"13,365"
2020,48,United States,"15,628"
2020,49,United States,"18,578"
2020,50,United States,"20,941"
2020,51,United States,"22,342"
2020,52,United States,"23,399"
2020,53,United States,"24,895"
2021,1,United States,"26,028"
2021,2,United States,"25,743"
2021,3,United States,"23,734"
2021,4,United States,"20,363"
2021,5,United States,"17,069"
2021,6,United States,"13,551"
2021,7,United States,"10,835"
2021,8,United States,"8,675"
2021,9,United States,"6,742"
2021,10,United States,"5,734"
2021,11,United States,"4,912"
2021,12,United States,"4,465"
2021,13,United States,"4,213"
2021,14,United States,"4,325"
2021,15,United States,"4,462"
2021,16,United States,"4,615"
2021,17,United States,"4,181"
2021,18,United States,"4,015"
2021,19,United States,"3,694"
2021,20,United States,"3,246"
2021,21,United States,"2,783"
2021,22,United States,"2,353"
2021,23,United States,"2,049"
2021,24,United States,"1,783"
2021,25,United States,"1,642"
2021,26,United States,"1,549"
2021,27,United States,"1,65"
2021,28,United States,"1,996"
2021,29,United States,"2,77"
2021,30,United States,"4,126"
2021,31,United States,"6,503"
2021,32,United States,"9,425"
2021,33,United States,"12,207"
2021,34,United States,"14,212"
2021,35,United States,"15,539"
2021,36,United States,"15,454"
2021,37,United States,"15,246"
2021,38,United States,"14,375"
2021,39,United States,"12,858"
2021,40,United States,"11,199"
2021,41,United States,"9,902"
2021,42,United States,"8,957"
2021,43,United States,"7,975"
2021,44,United States,"7,302"
2021,45,United States,"7,174"
2021,46,United States,"7,327"
2021,47,United States,"7,897"
2021,48,United States,"8,793"
2021,49,United States,"9,744"
2021,50,United States,"10,268"
2021,51,United States,"10,476"
2021,52,United States,"11,7"
2022,1,United States,"15,155"
2022,2,United States,"19,132"
2022,3,United States,"21,394"
2022,4,United States,"21,016"
2022,5,United States,"18,797"
2022,6,United States,"15,351"
2022,7,United States,"11,591"
2022,8,United States,"8,302"
2022,9,United States,"6,056"
2022,10,United States,"4,411"
2022,11,United States,"3,129"
2022,12,United States,"2,511"
2022,13,United States,"1,91"
2022,14,United States,"1,559"
2022,15,United States,"1,41"
2022,16,United States,"1,347"
2022,17,United States,"1,427"
2022,18,United States,"1,433"
2022,19,United States,"1,675"
2022,20,United States,"1,747"
2022,21,United States,"1,944"
2022,22,United States,"2,01"
2022,23,United States,"2,14"
2022,24,United States,"2,2"
