MMWR Year,MMWR Week,Jurisdiction of Occurrence,"COVID-19 (U071, Underlying Cause of Death)"
2020,1,United States,0
2020,2,United States,1
2020,3,United States,1
2020,4,United States,2
2020,5,United States,0
2020,6,United States,3
2020,7,United States,2
2020,8,United States,6
2020,9,United States,9
2020,10,United States,34
2020,11,United States,55
2020,12,United States,550
2020,13,United States,"3,043"
2020,14,United States,"9,638"
2020,15,United States,"15,528"
2020,16,United States,"16,305"
2020,17,United States,"14,659"
2020,18,United States,"12,437"
2020,19,United States,"10,463"
2020,20,United States,"8,497"
2020,21,United States,"6,593"
2020,22,United States,"5,596"
2020,23,United States,"4,519"
2020,24,United States,"3,73"
2020,25,United States,"3,347"
2020,26,United States,"3,333"
2020,27,United States,"4,05"
2020,28,United States,"5,236"
2020,29,United States,"6,53"
2020,30,United States,"7,521"
2020,31,United States,"7,613"
2020,32,United States,"7,182"
2020,33,United States,"6,563"
2020,34,United States,"5,748"
2020,35,United States,"5,153"
2020,36,United States,"4,434"
2020,37,United States,"4,078"
2020,38,United States,"3,764"
2020,39,United States,"3,797"
2020,40,United States,"3,699"
2020,41,United States,"4,279"
2020,42,United States,"4,592"
2020,43,United States,"5,33"
2020,44,United States,"6,26"
2020,45,United States,"7,847"
2020,46,United States,"9,581"
2020,47,United States,"12,074"
2020,48,United States,"14,135"
2020,49,United States,"16,861"
2020,50,United States,"19,08"
2020,51,United States,"20,437"
2020,52,United States,"21,376"
2020,53,United States,"22,76"
2021,1,United States,"23,954"
2021,2,United States,"23,526"
2021,3,United States,"21,685"
2021,4,United States,"18,441"
2021,5,United States,"15,268"
2021,6,United States,"12,036"
2021,7,United States,"9,511"
2021,8,United States,"7,526"
2021,9,United States,"5,792"
2021,10,United States,"4,794"
2021,11,United States,"4,097"
2021,12,United States,"3,78"
2021,13,United States,"3,539"
2021,14,United States,"3,658"
2021,15,United States,"3,775"
2021,16,United States,"3,945"
2021,17,United States,"3,607"
2021,18,United States,"3,445"
2021,19,United States,"3,17"
2021,20,United States,"2,755"
2021,21,United States,"2,314"
2021,22,United States,"2,002"
2021,23,United States,"1,682"
2021,24,United States,"1,434"
2021,25,United States,"1,32"
2021,26,United States,"1,235"
2021,27,United States,"1,352"
2021,28,United States,"1,697"
2021,29,United States,"2,422"
2021,30,United States,"3,73"
2021,31,United States,"5,95"
2021,32,United States,"8,771"
2021,33,United States,"11,377"
2021,34,United States,"13,303"
2021,35,United States,"14,567"
2021,36,United States,"14,475"
2021,37,United States,"14,193"
2021,38,United States,"13,403"
2021,39,United States,"11,869"
2021,40,United States,"10,305"
2021,41,United States,"9,039"
2021,42,United States,"8,101"
2021,43,United States,"7,203"
2021,44,United States,"6,511"
2021,45,United States,"6,472"
2021,46,United States,"6,55"
2021,47,United States,"7,077"
2021,48,United States,"7,994"
2021,49,United States,"8,864"
2021,50,United States,"9,38"
2021,51,United States,"9,477"
2021,52,United States,"10,506"
2022,1,United States,"13,28"
2022,2,United States,"16,651"
2022,3,United States,"18,437"
2022,4,United States,"18,049"
2022,5,United States,"15,81"
2022,6,United States,"12,697"
2022,7,United States,"9,345"
2022,8,United States,"6,507"
2022,9,United States,"4,617"
2022,10,United States,"3,218"
2022,11,United States,"2,108"
2022,12,United States,"1,637"
2022,13,United States,"1,147"
2022,14,United States,909
2022,15,United States,807
2022,16,United States,788
2022,17,United States,845
2022,18,United States,865
2022,19,United States,"1,046"
2022,20,United States,"1,084"
2022,21,United States,"1,294"
2022,22,United States,"1,308"
2022,23,United States,"1,404"
2022,24,United States,"1,427"
2022,25,United States,"1,52"
