MMWR Year,MMWR Week,Jurisdiction of Occurrence,influenza_pneumonia
2014,43,Florida,36
2014,44,Florida,60
2014,45,Florida,48
2014,46,Florida,51
2014,47,Florida,63
2014,48,Florida,44
2014,49,Florida,66
2014,50,Florida,64
2014,51,Florida,86
2014,52,Florida,73
2014,53,Florida,90
2015,1,Florida,91
2015,2,Florida,95
2015,3,Florida,85
2015,4,Florida,65
2015,5,Florida,87
2015,6,Florida,77
2015,7,Florida,63
2015,8,Florida,73
2015,9,Florida,68
2015,10,Florida,67
2015,11,Florida,52
2015,12,Florida,54
2015,13,Florida,69
2015,14,Florida,54
2015,15,Florida,52
2015,16,Florida,52
2015,17,Florida,56
2015,18,Florida,49
2015,19,Florida,53
2014,1,United States,"1,639"
2014,2,United States,"1,91"
2015,20,Florida,49
2015,21,Florida,38
2015,22,Florida,44
2015,23,Florida,45
2015,24,Florida,36
2014,3,United States,"1,92"
2014,4,United States,"1,765"
2014,5,United States,"1,642"
2014,6,United States,"1,528"
2014,7,United States,"1,472"
2014,8,United States,"1,269"
2014,9,United States,"1,228"
2014,10,United States,"1,215"
2014,11,United States,"1,153"
2014,12,United States,"1,163"
2014,13,United States,"1,117"
2014,14,United States,"1,059"
2014,15,United States,"1,131"
2014,16,United States,"1,054"
2014,17,United States,"1,021"
2014,18,United States,"1,02"
2014,19,United States,"1,023"
2014,20,United States,887
2014,21,United States,863
2014,22,United States,863
2014,23,United States,863
2014,24,United States,909
2014,25,United States,814
2014,26,United States,844
2014,27,United States,823
2014,28,United States,814
2014,29,United States,815
2014,30,United States,772
2014,31,United States,755
2014,32,United States,760
2014,33,United States,730
2014,34,United States,714
2014,35,United States,778
2014,36,United States,781
2014,37,United States,744
2014,38,United States,816
2014,39,United States,783
2014,40,United States,807
2014,41,United States,842
2014,42,United States,882
2014,43,United States,851
2014,44,United States,881
2014,45,United States,831
2014,46,United States,845
2014,47,United States,970
2014,48,United States,972
2014,49,United States,"1,054"
2014,50,United States,"1,144"
2014,51,United States,"1,448"
2014,52,United States,"1,695"
2014,53,United States,"2,293"
2015,1,United States,"2,602"
2015,2,United States,"2,368"
2015,3,United States,"2,108"
2015,4,United States,"1,875"
2015,5,United States,"1,758"
2015,6,United States,"1,594"
2015,7,United States,"1,528"
2015,8,United States,"1,522"
2015,9,United States,"1,376"
2015,10,United States,"1,369"
2015,11,United States,"1,223"
2015,12,United States,"1,16"
2015,13,United States,"1,166"
2015,14,United States,"1,158"
2015,15,United States,"1,157"
2015,16,United States,"1,112"
2015,17,United States,"1,06"
2015,18,United States,908
2015,19,United States,959
2015,20,United States,897
2015,21,United States,908
2015,22,United States,864
2015,23,United States,879
2015,24,United States,846
2015,25,United States,867
2015,26,United States,800
2015,27,United States,813
2015,28,United States,813
2015,29,United States,756
2015,30,United States,738
2015,31,United States,796
2015,32,United States,784
2015,33,United States,768
2015,34,United States,796
2015,35,United States,756
2015,36,United States,794
2015,37,United States,763
2015,38,United States,785
2015,39,United States,858
2015,40,United States,878
2015,41,United States,851
2015,42,United States,916
2015,43,United States,869
2015,44,United States,916
2015,45,United States,832
2015,46,United States,891
2015,47,United States,870
2015,48,United States,970
2015,49,United States,966
2015,50,United States,991
2015,51,United States,971
2015,52,United States,"1,136"
2016,1,United States,"1,24"
2016,2,United States,"1,26"
2016,3,United States,"1,13"
2016,4,United States,"1,169"
2016,5,United States,"1,171"
2016,6,United States,"1,195"
2016,7,United States,"1,254"
2016,8,United States,"1,317"
2016,9,United States,"1,428"
2016,10,United States,"1,459"
2016,11,United States,"1,383"
2016,12,United States,"1,403"
2016,13,United States,"1,297"
2016,14,United States,"1,325"
2016,15,United States,"1,256"
2016,16,United States,"1,085"
2016,17,United States,"1,03"
2016,18,United States,995
2016,19,United States,893
2016,20,United States,899
2016,21,United States,894
2016,22,United States,817
2016,23,United States,867
2016,24,United States,765
2016,25,United States,769
2016,26,United States,772
2016,27,United States,814
2016,28,United States,811
2016,29,United States,717
