MMWR Year,MMWR Week,Jurisdiction of Occurrence,Influenza and pneumonia (J09-J18)
2020,1,United States,"1,559"
2020,2,United States,"1,528"
2020,3,United States,"1,484"
2020,4,United States,"1,488"
2020,5,United States,"1,411"
2020,6,United States,"1,463"
2020,7,United States,"1,515"
2020,8,United States,"1,462"
2020,9,United States,"1,508"
2020,10,United States,"1,608"
2020,11,United States,"1,641"
2020,12,United States,"1,74"
2020,13,United States,"1,783"
2020,14,United States,"1,849"
2020,15,United States,"1,613"
2020,16,United States,"1,232"
2020,17,United States,"1,138"
2020,18,United States,"1,009"
2020,19,United States,864
2020,20,United States,857
2020,21,United States,804
2020,22,United States,751
2020,23,United States,701
2020,24,United States,700
2020,25,United States,756
2020,26,United States,722
2020,27,United States,658
2020,28,United States,739
2020,29,United States,767
2020,30,United States,781
2020,31,United States,760
2020,32,United States,782
2020,33,United States,754
2020,34,United States,697
2020,35,United States,678
2020,36,United States,733
2020,37,United States,681
2020,38,United States,716
2020,39,United States,724
2020,40,United States,763
2020,41,United States,726
2020,42,United States,724
2020,43,United States,766
2020,44,United States,793
2020,45,United States,801
2020,46,United States,847
2020,47,United States,831
2020,48,United States,810
2020,49,United States,916
2020,50,United States,953
2020,51,United States,948
2020,52,United States,978
2020,53,United States,"1,011"
2021,1,United States,"1,025"
2021,2,United States,998
2021,3,United States,924
2021,4,United States,903
2021,5,United States,843
2021,6,United States,856
2021,7,United States,880
2021,8,United States,794
2021,9,United States,842
2021,10,United States,782
2021,11,United States,751
2021,12,United States,695
2021,13,United States,704
2021,14,United States,752
2021,15,United States,684
2021,16,United States,703
2021,17,United States,692
2021,18,United States,699
2021,19,United States,670
2021,20,United States,641
2021,21,United States,659
2021,22,United States,634
2021,23,United States,672
2021,24,United States,641
2021,25,United States,692
2021,26,United States,625
2021,27,United States,714
2021,28,United States,719
2021,29,United States,686
2021,30,United States,746
2021,31,United States,736
2021,32,United States,774
2021,33,United States,776
2021,34,United States,812
2021,35,United States,751
2021,36,United States,868
2021,37,United States,839
2021,38,United States,818
2021,39,United States,843
2021,40,United States,794
2021,41,United States,860
2021,42,United States,803
2021,43,United States,843
2021,44,United States,908
2021,45,United States,829
2021,46,United States,913
2021,47,United States,882
2021,48,United States,948
2021,49,United States,"1,053"
2021,50,United States,998
2021,51,United States,"1,08"
2021,52,United States,"1,145"
2022,1,United States,"1,235"
2022,2,United States,"1,133"
2022,3,United States,"1,1"
2022,4,United States,"1,037"
2022,5,United States,975
2022,6,United States,948
2022,7,United States,828
2022,8,United States,866
2022,9,United States,872
2022,10,United States,791
2022,11,United States,784
2022,12,United States,772
2022,13,United States,749
2022,14,United States,787
2022,15,United States,811
2022,16,United States,732
2022,17,United States,786
2022,18,United States,767
2022,19,United States,785
2022,20,United States,798
2022,21,United States,745
2022,22,United States,784
2022,23,United States,734
2022,24,United States,772
2022,25,United States,698
2022,26,United States,711
2022,27,United States,709
2022,28,United States,675
2022,29,United States,717
2022,30,United States,671
2022,31,United States,682
2022,32,United States,665
2022,33,United States,641
2022,34,United States,656
2022,35,United States,626
2022,36,United States,723
2022,37,United States,698
2022,38,United States,690
2022,39,United States,686
2022,40,United States,725
2022,41,United States,742
2022,42,United States,821
2022,43,United States,780
2022,44,United States,901
2022,45,United States,995
2022,46,United States,"1,09"
2022,47,United States,"1,238"
2022,48,United States,"1,664"
2022,49,United States,"1,814"
2022,50,United States,"1,77"
2022,51,United States,"1,709"
2022,52,United States,"1,916"
2023,1,United States,"1,77"
2023,2,United States,"1,452"
2023,3,United States,"1,192"
2023,4,United States,"1,13"
2023,5,United States,975
2023,6,United States,977
2023,7,United States,934
2023,8,United States,879
2023,9,United States,848
2023,10,United States,875
2023,11,United States,855
2023,12,United States,932
2023,13,United States,815
2023,14,United States,877
2023,15,United States,818
2023,16,United States,845
2023,17,United States,782
2023,18,United States,759
2023,19,United States,805
2023,20,United States,745
2023,21,United States,793
2023,22,United States,755
2023,23,United States,756
2023,24,United States,699
2023,25,United States,715
2023,26,United States,713
2023,27,United States,664
2023,28,United States,646
2023,29,United States,647
2023,30,United States,655
2023,31,United States,641
2023,32,United States,665
2023,33,United States,566
2023,34,United States,620
2023,35,United States,591
2023,36,United States,595
2023,37,United States,495
2020,1,Alabama,28
2020,2,Alabama,27
2020,3,Alabama,31
2020,4,Alabama,29
2020,5,Alabama,31
2020,6,Alabama,28
2020,7,Alabama,35
2020,8,Alabama,25
2020,9,Alabama,30
2020,10,Alabama,34
2020,11,Alabama,30
2020,12,Alabama,26
2020,13,Alabama,26
2020,14,Alabama,23
2020,15,Alabama,18
2020,16,Alabama,18
2020,17,Alabama,24
2020,18,Alabama,26
2020,19,Alabama,12
2020,20,Alabama,15
2020,21,Alabama,18
2020,22,Alabama,21
2020,23,Alabama,16
2020,24,Alabama,11
2020,25,Alabama,12
2020,26,Alabama,16
2020,27,Alabama,13
2020,28,Alabama,12
2020,29,Alabama,22
2020,30,Alabama,17
2020,31,Alabama,25
2020,32,Alabama,21
2020,33,Alabama,20
2020,34,Alabama,17
2020,35,Alabama,17
2020,36,Alabama,14
2020,37,Alabama,12
2020,38,Alabama,17
2020,39,Alabama,20
2020,40,Alabama,20
2020,41,Alabama,18
2020,42,Alabama,12
2020,43,Alabama,20
2020,44,Alabama,23
2020,45,Alabama,14
2020,46,Alabama,13
2020,47,Alabama,17
2020,48,Alabama,17
2020,49,Alabama,14
2020,50,Alabama,21
2020,51,Alabama,31
2020,52,Alabama,17
2020,53,Alabama,21
2021,1,Alabama,19
2021,2,Alabama,25
2021,3,Alabama,19
2021,4,Alabama,20
2021,5,Alabama,23
2021,6,Alabama,15
2021,7,Alabama,20
2021,8,Alabama,22
2021,9,Alabama,22
2021,10,Alabama,21
2021,11,Alabama,18
2021,12,Alabama,22
2021,13,Alabama,19
2021,14,Alabama,20
2021,15,Alabama,16
2021,16,Alabama,25
2021,17,Alabama,21
2021,18,Alabama,10
2021,19,Alabama,15
2021,20,Alabama,17
2021,21,Alabama,17
2021,22,Alabama,20
2021,23,Alabama,18
2021,24,Alabama,21
2021,25,Alabama,16
2021,26,Alabama,13
2021,27,Alabama,19
2021,28,Alabama,16
2021,29,Alabama,14
2021,30,Alabama,18
2021,31,Alabama,15
2021,32,Alabama,13
2021,33,Alabama,20
2021,34,Alabama,13
2021,35,Alabama,22
2021,36,Alabama,32
2021,37,Alabama,22
2021,38,Alabama,15
2021,39,Alabama,18
2021,40,Alabama,21
2021,41,Alabama,17
2021,42,Alabama,27
2021,43,Alabama,12
2021,44,Alabama,25
2021,45,Alabama,14
2021,46,Alabama,11
2021,47,Alabama,25
2021,48,Alabama,12
2021,49,Alabama,19
2021,50,Alabama,24
2021,51,Alabama,25
2021,52,Alabama,23
2022,1,Alabama,29
2022,2,Alabama,23
2022,3,Alabama,24
2022,4,Alabama,23
2022,5,Alabama,13
2022,6,Alabama,27
2022,7,Alabama,15
2022,8,Alabama,16
2022,9,Alabama,15
2022,10,Alabama,17
2022,11,Alabama,16
2022,12,Alabama,13
2022,13,Alabama,22
2022,14,Alabama,20
2022,15,Alabama,13
2022,16,Alabama,17
2022,17,Alabama,11
2022,18,Alabama,16
2022,19,Alabama,15
2022,20,Alabama,15
2022,21,Alabama,16
2022,22,Alabama,15
2022,23,Alabama,13
2022,24,Alabama,5
2022,25,Alabama,15
2022,26,Alabama,11
2022,27,Alabama,5
2022,28,Alabama,11
2022,29,Alabama,17
2022,30,Alabama,13
2022,31,Alabama,17
2022,32,Alabama,5
2022,33,Alabama,5
2022,34,Alabama,19
2022,35,Alabama,10
2022,36,Alabama,16
2022,37,Alabama,13
2022,38,Alabama,18
2022,39,Alabama,19
2022,40,Alabama,16
2022,41,Alabama,22
2022,42,Alabama,20
2022,43,Alabama,16
2022,44,Alabama,17
2022,45,Alabama,24
2022,46,Alabama,24
2022,47,Alabama,27
2022,48,Alabama,31
2022,49,Alabama,35
2022,50,Alabama,26
2022,51,Alabama,22
2022,52,Alabama,24
2023,1,Alabama,27
2023,2,Alabama,20
2023,3,Alabama,26
2023,4,Alabama,21
2023,5,Alabama,17
2023,6,Alabama,16
2023,7,Alabama,22
2023,8,Alabama,10
2023,9,Alabama,25
2023,10,Alabama,21
2023,11,Alabama,12
2023,12,Alabama,22
2023,13,Alabama,17
2023,14,Alabama,15
2023,15,Alabama,5
2023,16,Alabama,18
2023,17,Alabama,13
2023,18,Alabama,21
2023,19,Alabama,20
2023,20,Alabama,13
2023,21,Alabama,15
2023,22,Alabama,13
2023,23,Alabama,22
2023,24,Alabama,16
2023,25,Alabama,15
2023,26,Alabama,15
2023,27,Alabama,18
2023,28,Alabama,11
2023,29,Alabama,5
2023,30,Alabama,12
2023,31,Alabama,10
2023,32,Alabama,14
2023,33,Alabama,13
2023,34,Alabama,18
2023,35,Alabama,12
2023,36,Alabama,13
2023,37,Alabama,5
2020,1,Alaska,0
2020,2,Alaska,0
2020,3,Alaska,0
2020,4,Alaska,0
2020,5,Alaska,5
2020,6,Alaska,5
2020,7,Alaska,0
2020,8,Alaska,5
2020,9,Alaska,5
2020,10,Alaska,5
2020,11,Alaska,5
2020,12,Alaska,5
2020,13,Alaska,5
2020,14,Alaska,5
2020,15,Alaska,5
2020,16,Alaska,5
2020,17,Alaska,5
2020,18,Alaska,5
2020,19,Alaska,5
2020,20,Alaska,5
2020,21,Alaska,0
2020,22,Alaska,0
2020,23,Alaska,5
2020,24,Alaska,5
2020,25,Alaska,5
2020,26,Alaska,5
2020,27,Alaska,0
2020,28,Alaska,0
2020,29,Alaska,0
2020,30,Alaska,5
2020,31,Alaska,0
2020,32,Alaska,0
2020,33,Alaska,0
2020,34,Alaska,5
2020,35,Alaska,0
2020,36,Alaska,5
2020,37,Alaska,0
2020,38,Alaska,0
2020,39,Alaska,0
2020,40,Alaska,0
2020,41,Alaska,5
2020,42,Alaska,0
2020,43,Alaska,5
2020,44,Alaska,5
2020,45,Alaska,5
2020,46,Alaska,5
2020,47,Alaska,0
2020,48,Alaska,0
2020,49,Alaska,5
2020,50,Alaska,5
2020,51,Alaska,5
2020,52,Alaska,5
2020,53,Alaska,0
2021,1,Alaska,5
2021,2,Alaska,5
2021,3,Alaska,0
2021,4,Alaska,0
2021,5,Alaska,0
2021,6,Alaska,0
2021,7,Alaska,0
2021,8,Alaska,5
2021,9,Alaska,5
2021,10,Alaska,5
2021,11,Alaska,0
2021,12,Alaska,5
2021,13,Alaska,5
2021,14,Alaska,0
2021,15,Alaska,5
2021,16,Alaska,0
2021,17,Alaska,5
2021,18,Alaska,0
2021,19,Alaska,0
2021,20,Alaska,0
2021,21,Alaska,5
2021,22,Alaska,0
2021,23,Alaska,5
2021,24,Alaska,0
2021,25,Alaska,0
2021,26,Alaska,5
2021,27,Alaska,5
2021,28,Alaska,5
2021,29,Alaska,5
2021,30,Alaska,5
2021,31,Alaska,0
2021,32,Alaska,5
2021,33,Alaska,0
2021,34,Alaska,5
2021,35,Alaska,0
2021,36,Alaska,5
2021,37,Alaska,0
2021,38,Alaska,5
2021,39,Alaska,0
2021,40,Alaska,0
2021,41,Alaska,5
2021,42,Alaska,0
2021,43,Alaska,5
2021,44,Alaska,5
2021,45,Alaska,0
2021,46,Alaska,5
2021,47,Alaska,5
2021,48,Alaska,5
2021,49,Alaska,5
2021,50,Alaska,5
2021,51,Alaska,5
2021,52,Alaska,5
2022,1,Alaska,5
2022,2,Alaska,5
2022,3,Alaska,5
2022,4,Alaska,0
2022,5,Alaska,5
2022,6,Alaska,5
2022,7,Alaska,5
2022,8,Alaska,0
2022,9,Alaska,0
2022,10,Alaska,0
2022,11,Alaska,5
2022,12,Alaska,5
2022,13,Alaska,0
2022,14,Alaska,5
2022,15,Alaska,5
2022,16,Alaska,0
2022,17,Alaska,5
2022,18,Alaska,5
2022,19,Alaska,5
2022,20,Alaska,5
2022,21,Alaska,5
2022,22,Alaska,5
2022,23,Alaska,5
2022,24,Alaska,5
2022,25,Alaska,5
2022,26,Alaska,0
2022,27,Alaska,5
2022,28,Alaska,5
2022,29,Alaska,5
2022,30,Alaska,0
2022,31,Alaska,5
2022,32,Alaska,0
2022,33,Alaska,5
2022,34,Alaska,5
2022,35,Alaska,0
2022,36,Alaska,5
2022,37,Alaska,5
2022,38,Alaska,5
2022,39,Alaska,0
2022,40,Alaska,5
2022,41,Alaska,5
2022,42,Alaska,5
2022,43,Alaska,0
2022,44,Alaska,0
2022,45,Alaska,0
2022,46,Alaska,5
2022,47,Alaska,5
2022,48,Alaska,5
2022,49,Alaska,5
2022,50,Alaska,5
2022,51,Alaska,5
2022,52,Alaska,5
2023,1,Alaska,5
2023,2,Alaska,0
2023,3,Alaska,5
2023,4,Alaska,5
2023,5,Alaska,0
2023,6,Alaska,0
2023,7,Alaska,0
2023,8,Alaska,5
2023,9,Alaska,0
2023,10,Alaska,5
2023,11,Alaska,5
2023,12,Alaska,5
2023,13,Alaska,5
2023,14,Alaska,5
2023,15,Alaska,5
2023,16,Alaska,5
2023,17,Alaska,0
2023,18,Alaska,0
2023,19,Alaska,0
2023,20,Alaska,5
2023,21,Alaska,0
2023,22,Alaska,0
2023,23,Alaska,5
2023,24,Alaska,5
2023,25,Alaska,0
2023,26,Alaska,5
2023,27,Alaska,5
2023,28,Alaska,0
2023,29,Alaska,0
2023,30,Alaska,0
2023,31,Alaska,0
2023,32,Alaska,0
2023,33,Alaska,5
2023,34,Alaska,5
2023,35,Alaska,0
2023,36,Alaska,0
2023,37,Alaska,0
2020,1,Arizona,30
2020,2,Arizona,26
2020,3,Arizona,31
2020,4,Arizona,36
2020,5,Arizona,34
2020,6,Arizona,30
2020,7,Arizona,33
2020,8,Arizona,31
2020,9,Arizona,33
2020,10,Arizona,29
2020,11,Arizona,32
2020,12,Arizona,36
2020,13,Arizona,37
2020,14,Arizona,25
2020,15,Arizona,26
2020,16,Arizona,22
2020,17,Arizona,18
2020,18,Arizona,24
2020,19,Arizona,16
2020,20,Arizona,17
2020,21,Arizona,15
2020,22,Arizona,17
2020,23,Arizona,16
2020,24,Arizona,13
2020,25,Arizona,12
2020,26,Arizona,16
2020,27,Arizona,21
2020,28,Arizona,34
2020,29,Arizona,29
2020,30,Arizona,16
2020,31,Arizona,29
